ARTIFICIAL INTELLIGENCE AND DATA SPECIALIST – Padova - 2023/25,,,,,,
Codice corso: 7346-0008-1032-2023,,,,,,
,,,,,,
Data,Dalle,Alle,Tot. Ore,Formatore (ROL),Descrizione UF,Dettagli
lunedì 30 ottobre 2023,14:00,18:00,04:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
giovedì 2 novembre 2023,09:00,11:00,02:00,SALVAGNO AGNESE,UF 15 - SOFT SKILLS,
giovedì 2 novembre 2023,11:15,13:15,02:00,SALVAGNO AGNESE,UF 15 - SOFT SKILLS,
giovedì 2 novembre 2023,14:15,18:15,04:00,SALVAGNO AGNESE,UF 15 - SOFT SKILLS,
lunedì 6 novembre 2023,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 6 novembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 6 novembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 7 novembre 2023,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
giovedì 9 novembre 2023,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
lunedì 13 novembre 2023,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 13 novembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 13 novembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 14 novembre 2023,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
martedì 14 novembre 2023,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
martedì 14 novembre 2023,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
giovedì 16 novembre 2023,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
venerdì 17 novembre 2023,09:00,11:00,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
venerdì 17 novembre 2023,11:15,13:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
venerdì 17 novembre 2023,14:15,16:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
lunedì 20 novembre 2023,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 20 novembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 20 novembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 21 novembre 2023,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
martedì 21 novembre 2023,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
martedì 21 novembre 2023,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.1. Elementi di base per programmare
mercoledì 22 novembre 2023,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
lunedì 27 novembre 2023,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 27 novembre 2023,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
